,Year,Month,Last Name (1st Author),Paper Title,Process,CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
202,2009,6,Chen,High Efficiency Dual-Mode RF Transmitter Using Envelope-Tracking Dual-Band Class-E Power Amplifier for W-CDMA/WiMAX Systems,GaAs,,2.6,,,,,,,,,,21.6,43,WiMax,,GaAs pHMET
203,2017,6,Li,A 2.6 GHz RF Power Amplifier with 25.6 dBm Linear Power and -47 dBc ACLR for Small-cell Applications,GaAs,,2.6,34.0,47,PAE,32.14,39.7,31.6,,,,25.6,17.2,LTE (20Mhz),,GaAs HBT
204,2019,6,Lee,InGaP/GaAs HBT Broadband Power Amplifer IC with 54.3% Fractional Bandwidth Based on Cascode Structure,GaAs,1.55-2.65,2.65,,,,,,23.7,LTE,,,26.7,30.9,PAPR=7.5dB,,
205,2018,11,Balteanu,Envelope Tracking System for High Power Applications in Uplink 4G/5G LTE Advanced,GaAs,,2.7,,,,,,26,,,,31.2,40,LTE 20MHz 64QAM,,
206,2004,6,Piotrowicz,High Power and High Efficiency 30 W Compact S-Band HBT Power Chips with Gold or Diamond Heat Spreaders,GaAs,,2.9,44.91,49.5,PAE,,,,,,,,,,,GaInP/GaAs HBT
207,2008,1,Bahl,2–8 GHz 8-W Power Amplifier MMIC Developed Using MSAG MESFET Technology,GaAs,,3.0,39.5,28,PAE,,,15.5,,,,,,,,GaAs
208,2019,10,Alizadeh,Class-J23 Power Amplifiers,GaAS,,3.0,30.7,58,PAE,,,19,,,,,,,,250nm pHEMT
209,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,3.0,21.0,35,PAE,,,7.3,,,,,,,Analog,PIH1-10 GaAs pHEMT
210,2021,12,Wu,A 0.5-3 GHz 1-Watt High Efficiency GaAs pHEMT Power Amplifier,GaAs,0.2-3,3.0,31.0,33.5,PAE,30,32,21,,,,,,,Analog,0.15-μm GaAs pHEMT
211,2000,6,Murae,A COMPACT S-BAND MMIC HIGH POWER AMPLIFIER MODULE,GaAs,,3.2,,,,43.3(2dB),40(2dB),25,,,,,,,,GaAs_pHEMT(500nm)
212,2000,6,Murae,A COMPACT S-BAND MMIC HIGH POWER AMPLIFIER MODULE,GaAs,,3.2,,,,48.3(2dB),32(2dB),22.5,,,,,,,,GaAs_pHEMT(500nm)
213,2003,6,Matsunaga,A 90W S-band High Power Amplifier for Broadband Wireless Applications,GaAs,,3.2,49.7,36,PAE,,,9.8,,,,,,,,GaAs FET
214,2019,3,Quaglia,A 1.8–3.2-GHz Doherty Power Amplifier in Quasi-MMIC Technology,GaAs,,3.2,42.0,52,PAE,,,9,,,,,,LTE 20MHz,,
215,2019,3,Quaglia,A 1.8–3.2-GHz Doherty Power Amplifier in Quasi-MMIC Technology,GaAs,,3.2,41.4,43,PAE,,,9,,,,,,LTE 20MHz,,
216,2018,5,Liu,A 3.5GHz GaAs pHEMT Power Amplifier,GaAs,,3.36,,,,23,22,16,,,,,,,,0.25um pHEMT
217,2005,10,Chu,A Fully Matched High Linearity 2-W PHEMT MMIC Power Amplifier for 3.5 GHz Applications,GaAs,,3.5,34.8,37.1,PAE,34,37.1,30.4,,,,,,,,AlGaAs/InGaAs/GaAs pHEMT
218,2006,6,Goto,A Low Distortion 25 W Class-F Power Amplifier Using Internally Harmonic Tuned FET Architecture for 3.5 GHz OFDM Applications,GaAs,,3.5,44.6,53,PAE,44.2,53,11.5,,-36.48,,34.6,18,WiMAX OFDM,,IHT-FET
219,2007,6,Hsu,Single-chip Dual-Mode Power Amplifier MMIC using GaAs E-pHEMT for WiMAX/WLAN Applications,GaAs,,3.5,,,,30,,25.6,,-31.3,,24.4,15,OFDM,,GaAs
220,2012,10,Lin,A Broadband Injection-Locking Class-E Power Amplifier,GaAs,,3.5,27.7,55,PAE,25,25,32,,-30.2,,25,52,64QAM,,GaAs PHEMT (500nm)
221,2021,11,Wan,A Fully Integrated High-Efficiency Three-stage Doherty Power Amplifier for Small-cell application,GaAs,3.3-3.5,3.5,38.0,47.5,PAE,,,34,,,,30,30.3,20 MHz LTE signal,Analog,2μm GaAs HBT technology
222,2001,5,Hang,High Efficiency S-band Class AB Push-pull Power Amplifier with Wide Band Harmonic Suppression,GaAs,,3.55,28.2,63.8,PAE,,,,,,,,,,,MWT-8HP_GaAS_FET
223,2022,6,Oh,2.8-3.8 GHz Broadband InGaP/GaAs HBT Doherty Power Amplifier IC for 5G New Radio Handset,GaAs,2.8-3.8,3.55,,,,,,38.3,,,,27.1,30.6,5G NR 100 MHz,Analog,2-μm InGaP/GaAs HBT process
224,2005,10,Wakejima,C-band GaAs FET power amplifiers with 70-W output power and 50% PAE for satellite communication use,GaAs,,3.8,48.5,51,PAE,,,12.1,,,,,,,Analog,GaAs_HFET(700nm)
225,2007,10,Chen,An Integrated Wideband Power Amplifier for Cognitive Radio,GaAs,,4.0,,,,22,28,20,,-25.7,,17.4,,64QAM OFDM,,InGaAs_pHEMT(150nm)
226,2016,1,Ding,A High-Efficiency GaAs MMIC Power Amplifier for Multi-Standard System,GaAs,,4.0,33.5,47.5,PAE,,,20.5,,,20 MHz,24,,LTE,,GaAs pHEMT(150nm)
227,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,4.0,20.1,31,PAE,,,7.3,,,,,,,Analog,PIH1-10 GaAs pHEMT
228,2000,6,Hang,PUSH-PULL POWER AMPLIFIER INTEGRATED WITH QUASI-YAGI ANTENNA FOR POWER COMBINING AND HARMONIC TUNING,GaAs,,4.15,28.2,60.9,PAE,,,12,,,,,,,,MWT8HP_GaAs_FET
229,2001,6,Hang,High-Efficiency Push–Pull Power Amplifier Integrated with Quasi-Yagi Antenna,GaAs,,4.15,28.2,60.9,PAE,27,55,,,,,,,,,GaAS_FET
230,2016,7,Silva,Ovtave Band Lineaer MMIC Amplifier With +40dBm OIP3 for High-Reliability Space Applicatinos,GaAs,,4.5,28.0,25,PAE,26.7,18,25,,,,,,,,GaAs pHEMT (250nm)
231,2001,4,Lim,A power amplifier with efficiency improved using defected ground structure,GaAs,,4.6,24.4,40,PAE,,,,,,,,,,, GaAs
232,2022,6,Ma,A 35 dBm PSAT and 41% PAE GaAs Power Amplifier with Series Distributed-Balun,GaAs,4.4-6,4.6,33.5,36,PAE,32,26,32.5,,,,,,,Analog,0.5μm GaAs pHEMT process
233,2007,6,Tsai,An HBT Four-Cell Monolithic Stacked Power Amplifier,GaAs,,4.8,29.5,36.9,PAE,26,22.8,14,,,,,,,,HBT (200nm)
234,2018,8,Lv,A C-band GaAs Doherty Power Amplifier MMIC with Compact Size and 1-GHz Bandwidth,GaAs,,4.9,30.0,46,PAE,,,15,,,,,,,,
235,2000,6,Kobayashi,A 0.5-1 6 GHz Capacitively Coupled HBT Medium Power Amplifier MMlC with Active Bias Regulation,GaAs,,5.0,19.0,,,17,,8,,,,,,,,GaAs_HBT
236,2002,12,Iwamoto,Optimum Bias Conditions for Linear Broad-Band InGaP/GaAs HBT Power Amplifiers,GaAs,,5.0,,,,24.5,14.1,7.5,,,,,,,,GaAs_HBT
237,2002,12,Iwamoto,Optimum Bias Conditions for Linear Broadband InGaP/GaAs HBT Power Amplifiers,GaAs,,5.0,,,,25,,7.5,,,,,,,,InGaP/GaAs HBT
238,2003,6,Fujita,A 5 GHz High Efficiency and Low Distortion InGaP/GaAs HBT Power Amplifier MMIC,GaAs,,5.0,,,,,,22.1,,-26,54Mbps,19.7,22.5,IEEE 802.11a,,InGaP/GaAs HBT
239,2006,6,Fukuda,A 0.9-5- GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,5.0,30.8,45,PAE,30,42,8.1,,,,,,,,
240,2006,6,Fukuda,A 0.9-5-GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,5.0,30.8,45,PAE,,,8.1,,,,,,,,GaAs FET
241,2006,6,Yu,Fully Integrated Doherty Power Amplifiers for 5 GHz Wireless-LANs,GaAs,,5.0,,,,,,,,-26,54Mbps,22.5,21.3,64 QAM OFDM,,InGaP/GaAs HBT (2000nm)
242,2008,6,Shen,A Broadband Stacked Power Amplifier Using 2-m GaAs HBT Process for C-band Applications,GaAs,,5.0,25.0,42.5,PAE,24.2,36.4,15,,,,,,,,GaAs HBT (2000nm)
243,2016,6,Alizadeh,A Braodband Integrated Class-J Power Amplifier in GaAs pHEMT Technology,GaAs,,5.0,27.8,62,PAE,,,,,,,,,,,GaAs pHEMT
244,2017,8,Alizadeh,Dual Band Design of Integrated Class-J Power Amplifiers in GaAs pHEMT Technology,GaAs,,5.0,26.9,49,PAE,,,,,,,,,,,GaAs pHEMT(100nm)
245,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,5.0,20.1,28.5,PAE,,,7,,,,,,,Analog,PIH1-10 GaAs pHEMT
246,2021,5,Chen,A Monolithically Integrated Single-Input Load- Modulated Balanced Amplifier With Enhanced Efficiency at Power Back-Off,GaAs,2021-04-06 00:00:00,5.0,31.0,25,PAE,30,25,5.2,,-29.5,80,22,11.1, 64-QAM,Analog,1-μm GaAs HBT
247,2021,5,Chen,A Monolithically Integrated Single-Input Load- Modulated Balanced Amplifier With Enhanced Efficiency at Power Back-Off,GaAs,2021-04-06 00:00:00,5.0,31.5,26,PAE,30,25,6.2,,-29.9,80,22.3,10.6, 64-QAM,Analog,1-μm GaAs HBT
248,2022,6,Ma,A 35 dBm PSAT and 41% PAE GaAs Power Amplifier with Series Distributed-Balun,GaAs,4.4-6,5.0,34.5,40,PAE,32.5,,32.5,,-32.4,160,28.7,,64-QAM 160MSym/s,Analog,0.5μm GaAs pHEMT process
249,2022,6,Ma,A 35 dBm PSAT and 41% PAE GaAs Power Amplifier with Series Distributed-Balun,GaAs,4.4-6,5.0,34.5,40,PAE,32.5,,32.5,,-35.2,160,26.5,,256-QAM 160MSym/s,Analog,0.5μm GaAs pHEMT process
250,2004,6,Sawa,Manufacturable 4W GaAs WLAN Amplifier Module for 5GHz Applications,GaAs,,5.03,,,,36,38,26,,-25,54Mbps,28.7,6,802.11a 64QAM OFDM,,GaAs MESFET
251,2004,6,Dow,Low DC Current 2.4-2.5 GHz and 4.9-6.0 GHz Linear Power Amplifier Modules for IEEE802.11 a/b/g Applications,GaAs,,5.15,27.0,35,PAE,26,32,16,,-27.54,54Mbps,23,22,802.11a(OFDM_64QAM),,InGaP/GaAs_HBT
252,2004,,Yamamoto,"InGaP/GaAs HBT MMICs for 5-GHz-Band Wireless Applicationsa High PldB, 23/4-dB Step-Gain Low-Noise Amplifier and a Power Amplifier",GaAs,,5.2,,,,23.2,30,23.2,,,,,,,,InGaP/GaAs HBT
253,2012,9,Shen,A Monolithic 3.5-to-6.5 GHz GaAs HBT-HEMT/Common-Emitter and Common-Gate Stacked Power Amplifier,GaAs,,5.2,29.5,26,PAE,,,5,,,,,,,,GaAs HBT-HEMT
254,2022,6,Ma,A 35 dBm PSAT and 41% PAE GaAs Power Amplifier with Series Distributed-Balun,GaAs,4.4-6,5.2,35.0,41,PAE,33,30,32.5,,,,,,,Analog,0.5μm GaAs pHEMT process
255,2003,6,Kim,A Low Quiescent Current 3.3V Operation Linear MMIC Power Amplifier for 5 GHz WLAN Applications,GaAs,,5.25,,,,26,27.8,17,,,,,,,,InCaP/GaAs HBT
256,2004,6,Kunihiro,A Diplexer-matching Dual-band Power Amplifier LTCC Module for IEEE 802.1 1 a/b/g Wireless LANs,GaAs,,5.25,27.0,22,PAE,24,20,25,,-25,54Mbps,18,9,802.11a/g(OFDM_64QAM),,InGaP/GaAs
257,2004,6,Griindlingh,A High Efficiency Chireix Out-phasing Power Amplifier for SGHz WLAN Applications,GaAs,,5.25,,,,,,,,-27,54Mbps,22.2,33,802.11a,,power pHEMT(500nm)
258,2018,1,Kang,Highly Efficient 5.15- to 5.85-GHz Neutralized HBT Power Amplifier for LTE Applications,GaAs,,5.3,31.3,44.5,PAE,,,,,,,24.1-24.4 / 22.2-22.8,,20-MHz 100-RB QPSK 6.7 dB PAPR / 40-MHz 200-RB QPSK 8.3 dB PAPR,,GaAs HBT
259,2007,10,Oka,A High-Power Low-Distortion GaAs HBT Power Amplifier for Mobile Terminals Used in Broadband Wireless Applications,GaAs,,5.5,26.0,25,PAE,,,24,,-30.46,54 Mbps,22,17,OFDM(64QAM),Analog,GaAs_HBT
260,2018,8,Lei,Developemet of C-band High Integration & High Efficiency Space-borne T/R Module,GaAs,,5.5,41.6,38.25,PAE,,,,,,,,,,,
261,2004,6,Ma,InGaP/GaAs HBT RF Power Amplifier with Compact ESD Protection Circuit,GaAs,,5.7,27.0,,,25,,18,,,,,,,,InGaP/GaAs HBT
262,2005,1,Ma,ESD Protection Design Considerations for InGaP/GaAs HBT RF Power Amplifiers,GaAs,,5.7,27.0,,,25,,18,,,,,,,,InGaP/GaAs_HBT
263,2006,6,Ma,A Compact Over-Voltage Protection Circuit for HBT Power Amplifiers,GaAs,,5.7,27.0,,,25,,18,,,,,,,,InGaP/GaAs HBT
264,2001,6,Yamamoto,A lchip RF Transceiver MMIC for ETC with Surface Via-Hole Isolation Technique,GaAs,,5.8,,,,7.8,,20,,,,,,,,GaAs_MODFET
265,2001,6,Raghavan,A GaAs HBT 5.8 GHz OFDM Transmitter MMIC Chip Set,GaAs,,5.8,,,,29,,20,,,,,,,,GaAs HBT
266,2001,6,Raghavan,A GaAs HBT 5.8 GHz OFDM Transmitter MMIC Chip Set,GaAs,,5.8,,,,29,,20,,,,,,,,GaAs_HBT
267,2018,11,Li,"A 32% Bandwidth, 47.2% PAE Power Amplifier with a reduced IMD3 using GaAs HBT Technology",GaAs,,5.8,23.2,47.2,PAE,,,9,,,,,,,,
268,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,5.8,20.1,29.5,PAE,,,7.3,,,,10,2.3,100-MHz LTE-like signal,Analog,PIH1-10 GaAs pHEMT
269,2022,6,Ma,A 35 dBm PSAT and 41% PAE GaAs Power Amplifier with Series Distributed-Balun,GaAs,4.4-6,5.8,34.5,33,PAE,31,18,32,,,,,,,Analog,0.5μm GaAs pHEMT process
270,2006,7,Yau,"An Extension of the Classical Method to Design
High Efficiency Microwave Class E Pas",GaAs,,6.0,22.91,52.16,PAE,,,7.91,,,,,,,,GaAs
271,2017,8,Alizadeh,Dual Band Design of Integrated Class-J Power Amplifiers in GaAs pHEMT Technology,GaAs,,6.0,26.0,55,PAE,,,,,,,,,,,GaAs pHEMT(250nm)
272,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,6.0,20.0,30,PAE,,,7.3,,,,,,,Analog,PIH1-10 GaAs pHEMT
273,2005,6,Jiang,A Broadband Power Amplifier Design Based on the Extended Resonance Power Combining Technique,GaAs,,6.5,,,,31.9,,9.9,,,,,,,,AlGaAs/InGaAs pHEMT LP1500
274,2017,6,Wu,A 4-10 GHz Fully-integrated Stacked GaAs pHEMT Power Amplifier,GaAs,,7.0,37.0,32,PAE,,,11,,,,,,,,GaAs (150 nm)
275,2021,6,Der,A S-C- / K-band Reconfigurable GaAs MMIC Power Amplifier for 5G Applications,GaAs,2.6-7.3,7.0,21.0,35,PAE,,,8,,,,,,,Analog,PIH1-10 GaAs pHEMT
276,2000,6,Chu,A 7.4 to 8.4 GHz High Efficiency PHEMT Three-Stage Power Amplifier,GaAs,,8.0,35.0,60,PAE,,,24,,,,,,,,GaAs_pHEMT(250nm)
277,2001,12,Yamauchi,X-band MMIC Power Amplifier with an On-chip Temperature Compensation Circuit,GaAs,,8.0,24.0,13,PAE,18,7,32,,,,,,,,GaAs_MESFET
278,2011,6,Powell,GaAs X-Band High Efficiency (>65%) Broadband (>30%) Amplifier MMIC based on the Class B to Class J Continuum,GaAs,,8.0,27.2,67(DE),DE,,,,,,,,,,,GaAs pHEMT
279,2004,6,Boger,"X-BAND, 17 WATT, SOLID-STATE POWER AMPLIFIER FOR SPACE APPLICATIONS",GaAs,,8.455,16.9,29.5,PAE,,,,,,,,,,,GaAs pHEMT
280,2022,4,Gittemeier,"A 0.5W, 45% PAE GaAs X-Band Front End Module MMIC",GaAs,8.5-10.5,8.5,27.6,46,PAE,,,34,,,,,,,Analog,0.15-μm GaAs pHEMT
281,2020,8,Zurek,Two-Stage Concurrent X/Ku Dual-Band GaAs MMIC Power Amplifier,GaAs,,9.0,20.2,45.5,PAE,,,16.9,,,,,,,,0.15um pHEMT enhancement-mode GaAs
282,2020,8,Zurek,Two-Stage Concurrent X/Ku Dual-Band GaAs MMIC Power Amplifier,GaAs,,9.0,20.2,45.5,PAE,,,16.9,,,,,,,,0.15um pHEMT enhancement-mode GaAs
283,2022,4,Gittemeier,"A 0.5W, 45% PAE GaAs X-Band Front End Module MMIC",GaAs,8.5-10.5,9.0,27.6,46,PAE,,,34,,,,,,,Analog,0.15-μm GaAs pHEMT
284,2022,6,Xie,An X/Ku Dual-Band Switchless Frequency Reconfigurable GaAs Power Amplifier,GaAs,8.5-9.5,9.0,29.6,44.4,PAE,,,23,,,,,,,Analog,0.25-μm GaAs pHEMT
285,2021,11,Niven,X-Band GaAs Stacked-FET Amplifier,GaAs,7.0-10.0,9.0,32.9,24.6,PAE,32.1,20,21,,,,,,,Analog,0.15 um GaAs technology
286,2022,6,Donahue,An X/Ku Dual-Band GaAs MMIC Power Amplifier with Integrated Load Impedance Sensing,GaAs,9 / 16.1,9.0,20.5,48,PAE,19.8,43,20,,,,,,,Analog,150-nm pHEMT E-mode GaAs process
287,2022,6,Donahue,An X/Ku Dual-Band GaAs MMIC Power Amplifier with Integrated Load Impedance Sensing,GaAs,9 / 16.1,9.0,20.5,45,PAE,19.8,41,19.3,,,,,,,Analog,150-nm pHEMT E-mode GaAs process
288,2007,6,Couturier,A Robust 1 1W High efficiency X-band GaInP HBT amplifier,GaAs,,9.2,42.0,43,PAE,,,,,,,,,,,GaInP/GaAs
289,2008,6,Chu,An X-Band High-Power and High-PAE PHEMT MMIC Power Amplifier for Pulse and CW Operation,GaAs,,9.4,40.0,42,PAE,,,17.5,,,,,,,,AlGaAs/InGaAs/GaAs PHEMT
290,2008,6,Chu,An X-Band High-Power and High-PAE PHEMT MMIC Power Amplifier for Pulse and CW Operation,GaAs,,9.4,40.0,42,PAE,,,,,,,,,,,alGaAs/InGaAs/GaAs PHEMT
291,2007,2,Chu,"A 9.1–10.7 GHz 10-W, 40-dB Gain Four-Stage PHEMT MMIC Power Amplifier",GaAs,,9.5,40.0,33,PAE,,,40,,,,,,,,AlGaAs/InGaAs/GaAs pHEMT
292,2020,10,Alizadeh,An X-Band Class-J Power Amplifier With Active Load Modulation to Boost Drain Efficiency,GaAs,9.1-10.8,9.5,28.8,47,PAE,,,14.5,,,,,,,Analog,0.25 μm GaAs pHEMT
293,2022,4,Gittemeier,"A 0.5W, 45% PAE GaAs X-Band Front End Module MMIC",GaAs,8.5-10.5,9.5,27.8,48,PAE,,,33,,,,,,,Analog,0.15-μm GaAs pHEMT
294,2001,12,Duperrier,New Design Method of Uniform and Nonuniform Distributed Power Amplifiers,GaAs,,10.0,30.0,20,PAE,,,8.5,,,,,,,,GaAs_pHEMT(250nm)
295,2001,5,Contrata,INTERMODULATION DISTORTION SIMULATION USING PHYSICAL GaAs FET MODEL,GaAs,,10.0,25.0,42,PAE,23,39,10,,,,,,,,GaAs FET
296,2001,5,Duperrier,New Design Method of Non-Uniform Distributed Power Amplifiers Application to a single stage 1W PHEMT MMIC,GaAs,,10.0,29.0,20,PAE,,,7,,,,,,,,pHEMT(250nm)
297,2003,9,Bessemoulin,A 4-W X-band compact coplanar high-power amplifier MMIC with 18-dB gain and 25% PAE,GaAs,,10.0,36.4,50,PAE,34.8,39,19,,,,,,,Analog,GaAs_pHEMT(300nm)
298,2004,3,Wang,60% Efficient 10-GHz Power Amplifier With Dynamic Drain Bias Control,GaAs,,10.0,20.3,60,DE,,,10,,,,,,,,IRF7331 MOSFET
299,2005,3,Wang,Linearity of X-Band Class-E Power Amplifiers in EER Operation,GaAs,,10.0,19.5,52,PAE,,,6.5,,,,,,,,AFM04P_GaAs_MESFET
300,2006,6,Piotrowicz,"Ultra Compact X-Band GaInP/GaAs HBT MMIC amplifiers: 11W, 42% of PAE on 13mm2 and 8.7W, 38% of PAE on 9mm2",GaAs,,10.0,40.49,42.3,PAE,,,16.5,,,,,,,,GaInP/GaAs HBT
301,2006,6,Piotrowicz,"Ultra Compact X-Band GaInP/GaAs HBT MMIC amplifiers: 11W, 42% of PAE on 13mm2 and 8.7W, 38% of PAE on 9mm2",GaAs,,10.0,39.4,38,PAE,,,,,,,,,,,GaInP/GaAs HBT
302,2007,6,Tayrani,A Highly Efficient Broadband (7-14 GHz) Monolithic Class E Power Amplifier for Space Based Radar,GaAs,,10.0,25.2,70,PAE,,,10,,,,,,,,GaAs pHEMT (250nm)
303,2012,6,Kim,A Broadband Power-Reconfigurable Distributed Amplifier,GaAs,,10.0,24.0,17,DE,,,,,,,,,,,GaAs (150 nm)
304,2017,8,Alizadeh,Dual Band Design of Integrated Class-J Power Amplifiers in GaAs pHEMT Technology,GaAs,,10.0,26.0,46,PAE,,,,,,,,,,,GaAs
305,2020,10,Alizadeh,An X-Band Class-J Power Amplifier With Active Load Modulation to Boost Drain Efficiency,GaAs,9.1-10.8,10.0,29.2,50,PAE,29,49,16,,,,,,,Analog,0.25 μm GaAs pHEMT
306,2021,1,Alizadeh,A 10-W X-Band Class-F High-Power Amplifier in a 0.25-μm GaAs pHEMT Technology,GaAs,9.8-10.3,10.0,39.7,58,PAE,,,18,,-25.99,,26,,200-Mb/s QPSK signal,Analog,0.25-μm GaAs pHEMT
307,2021,1,Alizadeh,A 10-W X-Band Class-F High-Power Amplifier in a 0.25-μm GaAs pHEMT Technology,GaAs,9.8-10.3,10.0,40.1,63,PAE,,,18.5,,,,,,,Analog,0.25-μm GaAs pHEMT
308,2022,4,Gittemeier,"A 0.5W, 45% PAE GaAs X-Band Front End Module MMIC",GaAs,8.5-10.5,10.0,27.6,48,PAE,,,32,,,,,,,Analog,0.15-μm GaAs pHEMT
309,2003,7,Pajic,An Efficient X-Band 16-Element Spatial Combiner of Switched-Mode Power Amplifiers,GaAs,,10.2,32.3,52,PAE,,,5.3,,,,,,,,GaAs_MESFET
310,2018,9,Kamioka,A Low-cost 30-W class X-band GaN-on-Si MMIC Power Amplifier with a GaAs MMIC Output Matching Circuit,GaAs,,10.3,44.8,30,PAE,,,29.8,,,,,,,,
311,2020,10,Alizadeh,An X-Band Class-J Power Amplifier With Active Load Modulation to Boost Drain Efficiency,GaAs,9.1-10.8,10.5,29.1,49,PAE,,,14,,,,,,,Analog,0.25 μm GaAs pHEMT
312,2022,4,Gittemeier,"A 0.5W, 45% PAE GaAs X-Band Front End Module MMIC",GaAs,8.5-10.5,10.5,27.5,44,PAE,,,31,,,,,,,Analog,0.15-μm GaAs pHEMT
313,2002,6,Vendier,"Flip-chip mounted, Ku band power amplifier compliant with space applications",GaAs,,11.0,32.0,22,PAE,,,20,,,,,,,,GaAs
314,2017,7,Meghdadi,Design of 6-18 Ghz High-Power Amplifier in GaAs pHEMT Technology,GaAs,,11.0,40.5,29,PAE,39,23,,,,,39.6,22,,,AlGaAs-InGaAs pHEMT(250nm)
315,2018,5,Hua,A High-efficiency 3-Watt GaAs pHEMT X-band MMIC Power Amplifier,GaAs,,11.5,35.0,49,PAE,32,,28,,,,,,,,
316,2010,6,Otsuka,A Q-band 6W MMIC Power Amplifier with 3-way Power Combination Circuit,GaAs,,12.0,37.9,17,PAE,36,17,9,,,,,,,,TaN/Au T-gate pHEMT
317,2020,7,Cai,A Compact Ku-Band Broadband GaAs Power Amplifier Using an Improved Darlinton Power Stage,InGaAs,10.5 - 16.6 Ghz,13.0,36.0,46.8,PAE,,,19,,,,,,,,0.15um InGaAs pHEMT
318,2000,6,Jeon,A 5 to 27 GHz MMIC POWER AMPLIFIER,GaAs,,14.0,21.0,,,,,,,,,,,,,GaAs_pHEMT(250nm)
319,2001,6,Lee,A Compact LTCC Ku-Band Transmitter Module with Integrated Filter for Satellite Communication Applications,GaAs,,14.0,,,PAE,26.5,30,5,,,,,,,,GaAs_MESFET
320,2004,6,Zhang,Fully Monolithic 8 Watt Ku-Band High Power Amplifier,GaAs,,14.0,39.0,22,PAE,,,22,,,,,,,,pHEMT(250nm)
321,2004,6,Bessemoulin,1-Watt Ku-band Power Amplifier MMICs using Low-cost Quad-Flat Plastic Package,GaAs,,14.0,32.0,,,31,,32,,,,,,,,power phEMT(250nm)
322,2006,2,Lin,A Compact 6.5-W PHEMT MMIC Power Amplifier for Ku-Band Applications,GaAs,,14.0,38.1,24.6,PAE,,,10.5,,,,,,,,AlGaAs/InGaAs/GaAs pHEMT
323,2001,6,Okazaki,Efficient Transmission-Power-Control Scheme for Ku-Band High-Power Amplifiers in Portable User Earth Terminals,GaAs,,14.25,25.0,10.2,PAE,24.5,11,14.2,,,,,,,,GaAs_MESFET(500nm)
324,2001,6,Okazaki,Efficient Transmission-Power-Control Scheme for Ku-Band High-Power Amplifiers in Portable User Earth Terminals,GaAs,,14.25,20.0,10,PAE,18.8,16,10.9,,,,,,,,GaAs_MESFET(500nm)
325,2017,6,Darwish,Compact and High Efficiency Doherty Power Amplifier Using a New Modulation Load Range,GaAs,,15.0,27.0,41,PAE,,,17,,,,,,,,GaAs
326,2003,6,Fujii,"E-PHEMT, Single Supply, Power Amplifier for Ku Band Applications",GaAs,,16.0,,,PAE,26.5,21,13,,,,,,,,E-pHEMT
327,2006,6,Fujii,Single supply 1W Ku-band Power Amplifier Based on 0.25gm E-mode PHEMT,GaAs,,16.0,,,PAE,31,31,28,,,,,,,,E-pHEMT(250nm)
328,2017,8,Alizadeh,Dual Band Design of Integrated Class-J Power Amplifiers in GaAs pHEMT Technology,GaAs,,16.0,25.5,53,PAE,,,,,,,,,,,GaAs
329,2022,6,Xie,An X/Ku Dual-Band Switchless Frequency Reconfigurable GaAs Power Amplifier,GaAs,15.5-16.5,16.0,30.1,38.4,PAE,,,23,,,,,,,Analog,0.25-μm GaAs pHEMT
330,2020,8,Zurek,Two-Stage Concurrent X/Ku Dual-Band GaAs MMIC Power Amplifier,GaAs,,16.1,20.5,40,PAE,,,14.5,,,,,,,,0.15um pHEMT enhancement-mode GaAs
331,2020,8,Zurek,Two-Stage Concurrent X/Ku Dual-Band GaAs MMIC Power Amplifier,GaAs,,16.1,20.5,40,PAE,,,14.5,,,,,,,,0.15um pHEMT enhancement-mode GaAs
332,2022,6,Donahue,An X/Ku Dual-Band GaAs MMIC Power Amplifier with Integrated Load Impedance Sensing,GaAs,9 / 16.1,16.1,21.6,38,PAE,21.4,37,16,,,,,,,Analog,150-nm pHEMT E-mode GaAs process
333,2022,6,Donahue,An X/Ku Dual-Band GaAs MMIC Power Amplifier with Integrated Load Impedance Sensing,GaAs,9 / 16.1,16.1,21.2,38,PAE,21,37,15.8,,,,,,,Analog,150-nm pHEMT E-mode GaAs process
334,2003,6,Shimura,"A High Power Density, 6W MMIC for Ku/K-Band Applications",GaAs,,18.0,,,PAE,37.78,30,23,,,,,,,,pHEMT
