,Year,Month,Last Name (1st Author),Paper Title,"Process (CMOS_Bulk, CMOS_SOI, SiGe)",CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
26,2007.0,6.0,Kim,Advanced Design of Linear Doherty Amplifier for High Efficiency using Saturation Amplifier,LDMOS,,1.0,,,,,,,,,,32,54.7(DE),W-CDMA,,
27,2008.0,10.0,Kim,High-Efficiency Hybrid EER Transmitter Using Optimized Power Amplifier,LDMOS,,1.0,,,,,,10.6,,-36.65,,31,43.35,W-CDMA,,
28,2009.0,6.0,Nemati,High-Efficiency LDMOS Power-Amplifier Design at 1 GHz Using an Optimized Transistor Model,LDMOS,,1.0,40.0,80,,37.0,60,17,,,,,,,,
29,2007.0,6.0,Pallotta,Quad-band GSM Silicon PA Module on LTCC embedding a Coupler-based RF Power Controller,LDMOS,,1.75,32.0,47,,,,,,,,,,,,0.35um CMOS
30,2005.0,6.0,Kim,A 50 W LDMOS current mode 1800 MHz class-D power amplifier,LDMOS,,1.8,47.8,63 (DE),DE,47.0,62,20,,,,,,,,
31,2005.0,6.0,Lepine,L-band LDMOS power amplifiers based on an inverse class-F architecture,LDMOS,,1.8,41.14,60 (DE),DE,,,10,,,0.1,,,QPSK,,
32,2007.0,6.0,Tombak,A Flip-Chip Silicon IPMOS Power Amplifier and a DC/DC Converter for GSM 850/900/1800/1900 MHz Systems,LDMOS,,1.8,33.7,42,,,,28.7,,,,,,,,
33,2008.0,6.0,Zhao,"A 120 watt, two-stage, LDMOS power amplifier IC at 1.8 GHz for GSM/EDGE applications",LDMOS,,1.8,52.8,53,,51.21,51,27,,-35.92,,46.63,33,EDGE,,
34,2009.0,6.0,Bokatius,A linear 250 watt Doherty power amplifier based on two-stage power ICs for 1.8 GHz single and multi-carrier GSM applications,LDMOS,,1.8,,,,,,29,,-33.97,,49,42.5,GSM/EDGE (single carrier),,
35,2010.0,5.0,Qureshi,A wide-band 20W LDMOS Doherty power amplifier,LDMOS,,1.8,36.0,54 (DE),DE,,,,,,,,,,,10W  NXP  Gen6  LDMOS
36,2016.0,5.0,He, A 500-W high efficiency LDMOS classical three-way Doherty amplifier for base-station applications ,LDMOS,,1.8,57.5,67 (DE),DE,55.5,64 (DE),16,,,,49,55 (DE),WCDMA (9.9 dB PAPR),,28V LDMOS devices on RO4350
37,2017.0,6.0,Min,Two-stage integrated doherty power amplifier with extended instantaneous bandwidth for 4/5g wireless systems,LDMOS,,1.8,46.0,57 (DE),DE,43.0,55 (DE),31,,,,39.3,43* (DE),"WCDMA (5 MHz, 9.9 PAPR)",,LDMOS
38,2008.0,6.0,Tombak,Integration of a cellular handset power amplifier and a DC/DC converter in a Silicon-On-Insulator (SOI) technology,LDMOS,,1.81,33.7,48,,,,30.7,,,,,,,,0.5um CMOS
