,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
276,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,284.0,11.5,0.61,PAE,,,20.0,,,,,,,,
277,2021.0,6,Ahmed,A compact H-band Power Amplifier with High Output Power,InP,233-281,285.0,14.0,2.2,PAE,,,,,,,,,,,250nm InP HBT
278,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,286.0,11.0,0.61,PAE,,,20.0,,,,,,,,
279,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,288.0,11.0,0.61,PAE,,,20.0,,,,,,,,
280,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,290.0,12.0,0.61,PAE,,,20.0,,,,,,,,
281,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,292.0,12.0,0.61,PAE,,,20.0,,,,,,,,
282,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,294.0,12.0,0.61,PAE,,,20.0,,,,,,,,
283,2020.0,7,Hamada,300-GHz-Band 120-Gb/s Wireless Front-End Based on InP-HEMT PAs and Mixers,InP,,295.0,12.0,0.61,PAE,,,20.0,,,,,,,,80-nm InP-HEMT
284,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,296.0,12.0,0.61,PAE,6.0,,20.0,,,,,,,,
285,2020.0,7,Hamada,300-GHz-Band 120-Gb/s Wireless Front-End Based on InP-HEMT PAs and Mixers,InP,,296.0,12.0,0.61,PAE,6.8,,20.0,,,,,,,,
286,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,298.0,11.0,0.61,PAE,,,20.0,,,,,,,,
287,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,300.0,11.0,0.61,PAE,,,20.0,,,,,,,,
288,2021.0,6,Hamada,220–325-GHz 25-dB-Gain Differential Amplifier With High Common-Mode-Rejection Circuit in 60-nm InP-HEMT Technology,InP,220-325,300.0,5.4,1.56,PAE,4.9,1.06,25.0,,,,,,,,60nm InP HEMT
289,2020.0,11,Hamada,"230–305 GHz, > 10-dBm-Output-Power Wideband Power Amplifier Using Low-Q Neutralization Technique in 60-nm InP-HEMT Technology",InP,230-305,300.0,10.7,,,5.6,,10.0,,,,,,,,60-nm InP-HEMT
290,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,302.0,10.0,0.61,PAE,,,20.0,,,,,,,,
